aggregationMode,seasonYear,season,uStar,5%,50%,95%
single,NA,NA,0.04445068188988921,0.03918206621587675,0.04961253746189252,0.06493396357066153
year,2017,NA,0.03832464517458243,0.03101289142816531,0.041150260985476944,0.0560935285186557
year,2018,NA,0.05057671860519599,0.03941558546837751,0.056371546206733486,0.08220094841014047
season,2017,2017006,0.0472743353038989,0.030789903826037225,0.038309935438969954,0.053639597270911166
season,2017,2017009,0.06218033584816247,0.032251593034172577,0.047221127081483356,0.06709426607238204
season,2018,2017012,0.05057671860519599,0.03466045920156528,0.05259254237984487,0.07686621620775735
season,2018,2018003,0.059754083798680864,0.03484730547115816,0.05590421848097719,0.08026113215605339
season,2018,2018006,0.05057671860519599,0.03941558546837751,0.056371546206733486,0.08220094841014047
