"VARIABLE","Total Obs","Tau","H","LE","h2o_flux","ET","co2_flux","ch4_flux"
"qc=2 N",NA,"741","1653","2384","2384","2384","2819","1876"
"N_filtered","19297","744","2195","3858","3858","3858","4081","5002"
